gen,sid,seed,foot_skate,gait_implied_speed,root_speed_actual,root_gait_mismatch,mismatch_ratio,contact_run_mean,contact_fraction,path_length,straightness,locomotion_intent,n_frames
mdm,000021,20260608,0.017166275095276927,0.048227,0.010019,0.038208,4.814,9.67,0.6591,1.7533,0.997,locomotion,176
mdm,000021,20260609,0.023992230215321823,0.058767,0.01024,0.048527,5.739,8.62,0.7102,1.792,0.9948,locomotion,176
mdm,000021,20260610,0.01926576141655695,0.040381,0.009726,0.030655,4.152,12.59,0.7869,1.702,0.9958,locomotion,176
mdm,000067,20261608,0.013941859963456761,0.026947,0.009145,0.017802,2.947,21.36,0.864,1.2346,0.9974,locomotion,136
mdm,000067,20261609,0.013026450606068163,0.020816,0.008857,0.011959,2.35,34.71,0.8934,1.1957,0.996,locomotion,136
mdm,000067,20261610,0.01080856225077045,0.036975,0.00922,0.027755,4.01,12.75,0.5625,1.2446,0.998,locomotion,136
mdm,000073,20262608,0.013149064706105166,0.028732,0.009292,0.019439,3.092,17.5,0.8413,0.9571,0.9995,locomotion,104
mdm,000073,20262609,0.00946511451458746,0.028581,0.009522,0.019059,3.001,20.43,0.6875,0.9808,0.9997,locomotion,104
mdm,000073,20262610,0.020570397763951417,0.043306,0.009989,0.033317,4.336,9.88,0.7596,1.0288,0.9992,locomotion,104
mdm,000153,20263608,0.007837794121061071,0.000695,0.008342,-0.007647,0.083,196.0,1.0,1.6267,1.0,ambiguous,196
mdm,000153,20263609,0.007527814077605917,0.000509,0.008343,-0.007835,0.061,196.0,1.0,1.627,1.0,ambiguous,196
mdm,000153,20263610,0.007637525003662125,0.000768,0.008324,-0.007556,0.092,196.0,1.0,1.6231,1.0,ambiguous,196
mdm,000160,20264608,0.006642135018879144,0.002095,0.008368,-0.006273,0.25,128.0,1.0,1.0628,1.0,ambiguous,128
mdm,000160,20264609,0.008088705155660483,0.001497,0.008339,-0.006843,0.179,128.0,1.0,1.0591,1.0,ambiguous,128
mdm,000160,20264610,0.007909149394281202,0.000941,0.008338,-0.007397,0.113,128.0,1.0,1.0589,1.0,ambiguous,128
mdm,000246,20265608,0.01818419549170718,0.04169,0.009702,0.031988,4.297,11.65,0.773,1.8919,0.9969,locomotion,196
mdm,000246,20265609,0.02450798456683319,0.061134,0.010437,0.050697,5.857,7.94,0.648,2.0352,0.996,locomotion,196
mdm,000246,20265610,0.019964114082450142,0.040035,0.009623,0.030412,4.16,14.17,0.8316,1.8765,0.9953,locomotion,196
mdm,000265,20266608,0.00613544364454502,0.00066,0.008359,-0.0077,0.079,48.0,1.0,0.3929,1.0,in_place,48
mdm,000265,20266609,0.004966865010947427,0.00071,0.008389,-0.007679,0.085,48.0,1.0,0.3943,1.0,in_place,48
mdm,000265,20266610,0.006280391306419311,0.001961,0.008365,-0.006404,0.234,48.0,1.0,0.3932,1.0,in_place,48
mdm,000299,20267608,0.010346157746058068,0.027585,0.0071,0.020485,3.885,19.5,0.6648,0.6177,0.9995,locomotion,88
mdm,000299,20267609,0.00925586469836008,0.020884,0.006168,0.014715,3.386,24.67,0.4205,0.5367,0.9995,locomotion,88
mdm,000299,20267610,0.007472103648170608,0.020503,0.007228,0.013275,2.837,15.5,0.5284,0.6289,0.9994,locomotion,88
mdm,000304,20268608,0.03075914033107553,0.07112,0.01082,0.0603,6.573,7.0,0.6429,2.1099,0.9998,locomotion,196
mdm,000304,20268609,0.025886042830388527,0.055211,0.010358,0.044853,5.33,9.06,0.7398,2.0199,0.9997,locomotion,196
mdm,000304,20268610,0.023310897889321884,0.042736,0.010145,0.032591,4.213,12.0,0.7347,1.9782,0.9998,locomotion,196
mdm,000374,20269608,0.0074279170895428055,0.030057,0.009324,0.020732,3.223,19.83,0.3814,1.4453,0.9998,locomotion,156
mdm,000374,20269609,0.0064766398441470216,0.01705,0.008983,0.008067,1.898,27.0,0.6923,1.3924,0.9998,locomotion,156
mdm,000374,20269610,0.009602484969124903,0.022432,0.009247,0.013185,2.426,24.22,0.6987,1.4332,0.9997,locomotion,156
mdm,000419,20270608,0.007872421239622795,0.00219,0.008331,-0.00614,0.263,196.0,1.0,1.6245,1.0,ambiguous,196
mdm,000419,20270609,0.007992390288851755,0.001313,0.008334,-0.007021,0.158,196.0,1.0,1.6252,1.0,ambiguous,196
mdm,000419,20270610,0.007946417784458256,0.00171,0.008334,-0.006624,0.205,196.0,1.0,1.6251,1.0,ambiguous,196
mdm,000486,20271608,0.007757348341800952,0.002204,0.008323,-0.006118,0.265,196.0,1.0,1.6229,1.0,locomotion,196
mdm,000486,20271609,0.0037039713928160274,0.003704,0.008372,-0.004668,0.442,53.75,0.5485,1.6325,1.0,locomotion,196
mdm,000486,20271610,0.008054478098480448,0.001218,0.00832,-0.007101,0.146,196.0,1.0,1.6223,1.0,locomotion,196
mdm,000629,20272608,0.02582526017745573,0.059351,0.010711,0.04864,5.541,10.29,0.6301,2.0886,0.9974,locomotion,196
mdm,000629,20272609,0.016637942650786188,0.042254,0.010039,0.032215,4.209,12.57,0.6735,1.9577,0.9975,locomotion,196
mdm,000629,20272610,0.010928112571289188,0.03662,0.009865,0.026755,3.712,15.31,0.625,1.9236,0.9977,locomotion,196
mdm,000633,20273608,0.007905713559461503,0.000828,0.008339,-0.007511,0.099,196.0,1.0,1.6261,1.0,in_place,196
mdm,000633,20273609,0.007882815729147483,0.00084,0.008337,-0.007497,0.101,196.0,1.0,1.6257,1.0,in_place,196
mdm,000633,20273610,0.007972283756818096,0.000482,0.008335,-0.007852,0.058,196.0,1.0,1.6253,1.0,in_place,196
mdm,000680,20274608,0.00804366660190961,0.000588,0.008326,-0.007738,0.071,196.0,1.0,1.6236,1.0,ambiguous,196
mdm,000680,20274609,0.007897057611531215,0.000649,0.008323,-0.007675,0.078,196.0,1.0,1.623,1.0,ambiguous,196
mdm,000680,20274610,0.007988994579689143,0.001236,0.008331,-0.007094,0.148,196.0,1.0,1.6245,1.0,ambiguous,196
mdm,000687,20275608,0.01647839014472925,0.079565,0.011146,0.06842,7.139,6.2,0.2768,0.613,0.9998,locomotion,56
mdm,000687,20275609,0.027969173598052142,0.070689,0.011217,0.059472,6.302,6.6,0.5893,0.6169,0.9991,locomotion,56
mdm,000687,20275610,0.00567189971286889,0.068468,0.009812,0.058657,6.978,11.0,0.0982,0.5397,0.9999,locomotion,56
mdm,000710,20276608,0.01227737868529933,0.036042,0.00943,0.026612,3.822,19.3,0.7311,1.2353,0.9999,locomotion,132
mdm,000710,20276609,0.004461849408512559,0.017842,0.008892,0.008949,2.006,19.0,0.5758,1.1649,0.9995,locomotion,132
mdm,000710,20276610,0.006279807790888143,0.027762,0.009289,0.018473,2.989,16.7,0.6326,1.2168,0.9996,locomotion,132
mdm,000759,20277608,0.004029389245189261,0.002788,0.008414,-0.005626,0.331,49.67,0.8466,0.732,0.9999,ambiguous,88
mdm,000759,20277609,0.004692169669340087,0.003599,0.008312,-0.004713,0.433,48.33,0.8239,0.7232,0.9999,ambiguous,88
