gen,sid,seed,foot_skate,path_gain_AFTER_ACTION,mm_orig,mm_corr,dmm,split
mdm,000021,20260608,0.017166,3.7993,9.2375,7.3869,-1.8506,calib
mdm,000021,20260609,0.023992,3.8875,8.8524,7.1612,-1.6912,calib
mdm,000021,20260610,0.019266,3.0067,9.7933,8.1746,-1.6187,calib
mdm,000067,20261608,0.013942,1.8267,5.6267,4.3055,-1.3212,holdout
mdm,000067,20261609,0.013026,1.6383,5.0211,3.0814,-1.9397,holdout
mdm,000067,20261610,0.010809,1.6284,5.9445,5.0482,-0.8963,holdout
mdm,000073,20262608,0.013149,1.9779,4.7353,4.3063,-0.429,holdout
mdm,000073,20262609,0.009465,3.1226,5.115,4.7389,-0.3761,holdout
mdm,000073,20262610,0.02057,3.4547,4.7906,3.0964,-1.6942,holdout
mdm,000153,20263608,0.007838,0.0448,1.1936,0.9138,-0.2798,calib
mdm,000153,20263609,0.007528,0.0328,0.8422,0.9299,0.0877,calib
mdm,000153,20263610,0.007638,0.0657,1.4655,1.3021,-0.1634,calib
mdm,000160,20264608,0.006642,0.1942,1.8409,1.7624,-0.0785,holdout
mdm,000160,20264609,0.008089,0.1136,2.0935,2.1963,0.1028,holdout
mdm,000160,20264610,0.007909,0.0764,1.7001,1.5008,-0.1993,holdout
mdm,000246,20265608,0.018184,2.8167,6.6656,5.4884,-1.1772,holdout
mdm,000246,20265609,0.024508,4.599,5.4445,2.058,-3.3865,holdout
mdm,000246,20265610,0.019964,2.783,5.7878,3.2397,-2.5482,holdout
mdm,000265,20266608,0.006135,0.0508,2.1063,2.0391,-0.0671,calib
mdm,000265,20266609,0.004967,0.0582,2.5855,2.4794,-0.1061,calib
mdm,000265,20266610,0.00628,0.1825,1.9738,1.8605,-0.1133,calib
mdm,000299,20267608,0.010346,4.2798,7.9467,1.7169,-6.2299,calib
mdm,000299,20267609,0.009256,8.1579,10.0017,5.4784,-4.5233,calib
mdm,000299,20267610,0.007472,4.2758,11.132,5.89,-5.242,calib
mdm,000304,20268608,0.030759,5.1596,1.9596,1.4923,-0.4673,holdout
mdm,000304,20268609,0.025886,3.959,2.1607,2.7239,0.5632,holdout
mdm,000304,20268610,0.023311,4.1772,2.0589,1.439,-0.6199,holdout
mdm,000374,20269608,0.007428,3.5228,8.3492,6.5199,-1.8293,holdout
mdm,000374,20269609,0.006477,1.9331,3.8789,2.0569,-1.822,holdout
mdm,000374,20269610,0.009602,2.8844,7.0862,2.2483,-4.838,holdout
mdm,000419,20270608,0.007872,0.1442,4.7593,4.8649,0.1056,calib
mdm,000419,20270609,0.007992,0.0887,5.3748,5.3569,-0.0179,calib
mdm,000419,20270610,0.007946,0.0966,4.283,4.4787,0.1957,calib
mdm,000486,20271608,0.007757,0.1206,6.2223,6.5377,0.3154,holdout
mdm,000486,20271609,0.003704,0.2314,6.8487,7.261,0.4122,holdout
mdm,000486,20271610,0.008054,0.1093,7.0712,7.2793,0.2081,holdout
mdm,000629,20272608,0.025825,5.1988,7.6519,5.7507,-1.9012,holdout
mdm,000629,20272609,0.016638,3.7833,8.1382,5.3167,-2.8215,holdout
mdm,000629,20272610,0.010928,3.8735,8.5194,7.4308,-1.0887,holdout
mdm,000633,20273608,0.007906,0.0738,4.2729,3.8338,-0.4391,calib
mdm,000633,20273609,0.007883,0.0728,4.1296,4.1185,-0.011,calib
mdm,000633,20273610,0.007972,0.0361,3.3339,3.4589,0.125,calib
mdm,000680,20274608,0.008044,0.0501,3.1375,2.201,-0.9364,calib
mdm,000680,20274609,0.007897,0.0502,2.6244,1.8657,-0.7587,calib
mdm,000680,20274610,0.007989,0.0892,2.6296,2.1176,-0.512,calib
mdm,000687,20275608,0.016478,7.0496,6.9749,6.2793,-0.6956,calib
mdm,000687,20275609,0.027969,3.9315,7.9129,6.6281,-1.2849,calib
mdm,000687,20275610,0.005672,6.672,7.3803,5.9665,-1.4138,calib
mdm,000710,20276608,0.012277,2.5221,6.0527,4.5629,-1.4898,holdout
mdm,000710,20276609,0.004462,1.8912,6.6605,6.0981,-0.5624,holdout
mdm,000710,20276610,0.00628,2.8253,4.3061,4.6988,0.3928,holdout
mdm,000759,20277608,0.004029,0.3327,8.2984,9.9149,1.6165,calib
mdm,000759,20277609,0.004692,0.3592,7.6435,10.3839,2.7404,calib
mdm,000759,20277610,0.004051,0.1346,8.2449,10.2951,2.0502,calib
