gen,sid,seed,u_star,realized_improvement,realized_harm
mdm,000067,20261608,1.0,1.3212,0
mdm,000067,20261609,1.0,1.9397,0
mdm,000067,20261610,1.0,0.8963,0
mdm,000073,20262608,1.0,0.429,0
mdm,000073,20262609,1.0,0.3761,0
mdm,000073,20262610,1.0,1.6942,0
mdm,000160,20264608,0.0,0.0,0
mdm,000160,20264609,0.25,-0.068,0
mdm,000160,20264610,0.25,-0.0076,0
mdm,000246,20265608,1.0,1.1772,0
mdm,000246,20265609,1.0,3.3865,0
mdm,000246,20265610,1.0,2.5481,0
mdm,000304,20268608,1.0,0.4673,0
mdm,000304,20268609,1.0,-0.5632,1
mdm,000304,20268610,1.0,0.6199,0
mdm,000374,20269608,1.0,1.8293,0
mdm,000374,20269609,1.0,1.822,0
mdm,000374,20269610,1.0,4.8379,0
mdm,000486,20271608,0.0,0.0,0
mdm,000486,20271609,1.0,-0.4123,1
mdm,000486,20271610,0.0,0.0,0
mdm,000629,20272608,1.0,1.9012,0
mdm,000629,20272609,1.0,2.8215,0
mdm,000629,20272610,1.0,1.0886,0
mdm,000710,20276608,1.0,1.4898,0
mdm,000710,20276609,1.0,0.5624,0
mdm,000710,20276610,1.0,-0.3927,1
mdm,000904,20280608,1.0,1.3946,0
mdm,000904,20280609,1.0,1.4539,0
mdm,000904,20280610,1.0,1.2059,0
mdm,001152,20281608,1.0,-0.4792,1
mdm,001152,20281609,1.0,0.4,0
mdm,001152,20281610,0.75,-0.5689,1
mdm,001249,20284608,0.25,-0.4795,1
mdm,001249,20284609,0.25,-0.1165,1
mdm,001249,20284610,0.0,0.0,0
mdm,001270,20285608,1.0,-0.4087,1
mdm,001270,20285609,1.0,2.4941,0
mdm,001270,20285610,1.0,-0.0016,0
mdm,001614,20288608,1.0,3.8681,0
mdm,001614,20288609,1.0,3.0646,0
mdm,001614,20288610,1.0,2.5713,0
mdm,001617,20289608,1.0,1.7893,0
mdm,001617,20289609,1.0,0.8616,0
mdm,001617,20289610,1.0,2.2144,0
mdm,001759,20291608,0.75,-0.0018,0
mdm,001759,20291609,1.0,0.0622,0
mdm,001759,20291610,0.0,0.0,0
mdm,001801,20292608,1.0,-0.2476,1
mdm,001801,20292609,1.0,-0.3667,1
mdm,001801,20292610,1.0,-0.3292,1
mdm,001808,20293608,0.75,0.372,0
mdm,001808,20293609,1.0,1.4196,0
mdm,001808,20293610,1.0,-0.4022,1
mdm,001888,20294608,1.0,0.228,0
mdm,001888,20294609,1.0,0.2126,0
mdm,001888,20294610,1.0,-0.0272,0
mdm,001976,20295608,1.0,1.6957,0
mdm,001976,20295609,1.0,1.8292,0
mdm,001976,20295610,1.0,1.7706,0
mdm,002192,20298608,0.75,1.1324,0
mdm,002192,20298609,1.0,0.7794,0
mdm,002192,20298610,1.0,0.7887,0
mdm,002522,20303608,1.0,0.0219,0
mdm,002522,20303609,1.0,-1.4583,1
mdm,002522,20303610,1.0,1.5819,0
mdm,002661,20308608,0.75,0.0262,0
mdm,002661,20308609,1.0,0.0058,0
mdm,002661,20308610,1.0,0.2689,0
mdm,002761,20310608,1.0,0.745,0
mdm,002761,20310609,1.0,1.214,0
mdm,002761,20310610,1.0,0.6216,0
mdm,002781,20312608,1.0,1.8547,0
mdm,002781,20312609,1.0,2.323,0
mdm,002781,20312610,1.0,1.8376,0
mdm,003020,20316608,0.5,0.0974,0
mdm,003020,20316609,0.5,0.1116,0
mdm,003020,20316610,0.5,0.1649,0
mdm,003171,20317608,1.0,-0.2368,1
mdm,003171,20317609,1.0,2.3375,0
mdm,003171,20317610,1.0,-0.484,1
mdm,003224,20319608,1.0,1.5019,0
mdm,003224,20319609,1.0,2.0387,0
mdm,003224,20319610,1.0,1.8002,0
mdm,003423,20323608,0.0,0.0,0
mdm,003423,20323609,0.0,0.0,0
mdm,003423,20323610,0.0,0.0,0
mdm,003481,20324608,0.75,-0.4404,1
mdm,003481,20324609,1.0,-0.3489,1
mdm,003481,20324610,1.0,-0.9224,1
mdm,003539,20326608,1.0,2.1048,0
mdm,003539,20326609,1.0,1.1008,0
mdm,003539,20326610,1.0,-1.0476,1
mdm,003638,20328608,0.75,-0.1716,1
mdm,003638,20328609,1.0,-0.1281,1
mdm,003638,20328610,1.0,0.3376,0
mdm,003771,20330608,0.5,-0.1193,1
mdm,003771,20330609,0.75,0.1086,0
mdm,003771,20330610,0.75,0.0339,0
mdm,003814,20331608,1.0,2.048,0
mdm,003814,20331609,1.0,0.9713,0
mdm,003814,20331610,1.0,0.9529,0
mdm,003831,20333608,0.75,0.0024,0
mdm,003831,20333609,1.0,0.1116,0
mdm,003831,20333610,1.0,0.1578,0
mdm,003942,20335608,1.0,1.8668,0
mdm,003942,20335609,1.0,1.8893,0
mdm,003942,20335610,1.0,1.4612,0
mdm,003962,20336608,1.0,3.0667,0
mdm,003962,20336609,1.0,2.0944,0
mdm,003962,20336610,1.0,2.5307,0
mdm,004037,20337608,0.0,0.0,0
mdm,004037,20337609,0.0,0.0,0
mdm,004037,20337610,0.0,0.0,0
mdm,004063,20338608,1.0,1.04,0
mdm,004063,20338609,0.75,0.9577,0
mdm,004063,20338610,1.0,1.2404,0
mdm,004117,20340608,1.0,0.3663,0
mdm,004117,20340609,1.0,-0.1935,1
mdm,004117,20340610,0.75,-0.0374,0
mdm,004293,20345608,1.0,1.3036,0
mdm,004293,20345609,1.0,0.7106,0
mdm,004293,20345610,1.0,3.5966,0
mdm,004320,20347608,1.0,3.8329,0
mdm,004320,20347609,1.0,1.9104,0
mdm,004320,20347610,1.0,3.0059,0
mdm,004350,20348608,1.0,0.4192,0
mdm,004350,20348609,1.0,0.2905,0
mdm,004350,20348610,1.0,2.1485,0
mdm,004438,20350608,1.0,1.5471,0
mdm,004438,20350609,1.0,-0.0661,0
mdm,004438,20350610,1.0,2.1913,0
mdm,004518,20352608,1.0,-1.6335,1
mdm,004518,20352609,1.0,-2.2757,1
mdm,004518,20352610,1.0,0.6917,0
mdm,004601,20353608,1.0,0.6575,0
mdm,004601,20353609,1.0,-0.4378,1
mdm,004601,20353610,1.0,0.9235,0
mdm,004645,20355608,1.0,2.5285,0
mdm,004645,20355609,1.0,1.571,0
mdm,004645,20355610,1.0,1.524,0
mdm,004724,20359608,1.0,0.1507,0
mdm,004724,20359609,1.0,0.4471,0
mdm,004724,20359610,1.0,-0.2601,1
mdm,004733,20360608,1.0,-0.4417,1
mdm,004733,20360609,1.0,-0.2325,1
mdm,004733,20360610,1.0,-0.2313,1
mdm,004852,20362608,1.0,3.8507,0
mdm,004852,20362609,1.0,5.1197,0
mdm,004852,20362610,1.0,5.7649,0
mdm,004854,20363608,1.0,0.5765,0
mdm,004854,20363609,1.0,2.3274,0
mdm,004854,20363610,1.0,2.0245,0
mdm,004864,20364608,1.0,-0.4876,1
mdm,004864,20364609,1.0,-0.1608,1
mdm,004864,20364610,1.0,-0.2992,1
mdm,004870,20365608,0.75,0.1123,0
mdm,004870,20365609,1.0,0.0366,0
mdm,004870,20365610,0.5,0.2595,0
mdm,004975,20367608,0.75,-0.1453,1
mdm,004975,20367609,1.0,-0.2601,1
mdm,004975,20367610,1.0,1.0247,0
mdm,005087,20372608,1.0,2.492,0
mdm,005087,20372609,1.0,1.5718,0
mdm,005087,20372610,1.0,0.3831,0
mdm,005278,20374608,1.0,-0.428,1
mdm,005278,20374609,1.0,1.4133,0
mdm,005278,20374610,1.0,-0.4886,1
mdm,005445,20376608,1.0,1.6792,0
mdm,005445,20376609,1.0,2.0018,0
mdm,005445,20376610,1.0,2.0504,0
mdm,005504,20377608,1.0,4.8956,0
mdm,005504,20377609,1.0,3.8662,0
mdm,005504,20377610,1.0,4.328,0
mdm,005531,20379608,0.0,0.0,0
mdm,005531,20379609,0.0,0.0,0
mdm,005531,20379610,0.0,0.0,0
mdm,005537,20380608,1.0,0.9589,0
mdm,005537,20380609,1.0,1.3002,0
mdm,005537,20380610,1.0,0.0914,0
mdm,005712,20383608,1.0,0.0519,0
mdm,005712,20383609,1.0,0.1208,0
mdm,005712,20383610,1.0,-0.0709,0
mdm,005751,20384608,1.0,-0.1126,1
mdm,005751,20384609,1.0,0.152,0
mdm,005751,20384610,1.0,0.1927,0
mdm,005933,20389608,0.5,-0.1681,1
mdm,005933,20389609,0.5,-0.2052,1
mdm,005933,20389610,0.5,-0.2241,1
mdm,006089,20392608,0.75,0.4008,0
mdm,006089,20392609,1.0,0.1421,0
mdm,006089,20392610,1.0,0.824,0
mdm,006106,20393608,1.0,1.011,0
mdm,006106,20393609,1.0,-0.3903,1
mdm,006106,20393610,1.0,-2.5354,1
mdm,006185,20396608,1.0,2.2836,0
mdm,006185,20396609,1.0,2.3033,0
mdm,006185,20396610,1.0,2.1073,0
mdm,006236,20397608,1.0,-0.3813,1
mdm,006236,20397609,1.0,-0.0362,0
mdm,006236,20397610,1.0,0.929,0
mdm,006371,20399608,0.5,0.421,0
mdm,006371,20399609,0.75,0.1547,0
mdm,006371,20399610,0.5,0.3977,0
mdm,006442,20403608,0.75,0.6751,0
mdm,006442,20403609,0.5,0.1849,0
mdm,006442,20403610,0.5,0.4971,0
mdm,006477,20404608,0.0,0.0,0
mdm,006477,20404609,0.0,0.0,0
mdm,006477,20404610,0.0,0.0,0
mdm,006568,20406608,0.5,0.1655,0
mdm,006568,20406609,1.0,0.1857,0
mdm,006568,20406610,1.0,0.1315,0
mdm,006620,20407608,1.0,-3.3964,1
mdm,006620,20407609,1.0,-0.0657,0
mdm,006620,20407610,1.0,-0.4507,1
mdm,006631,20408608,0.0,0.0,0
mdm,006631,20408609,0.0,0.0,0
mdm,006631,20408610,0.0,0.0,0
mdm,006652,20409608,1.0,0.1815,0
mdm,006652,20409609,1.0,0.1378,0
mdm,006652,20409610,1.0,0.1809,0
mdm,006987,20417608,0.0,0.0,0
mdm,006987,20417609,0.0,0.0,0
mdm,006987,20417610,0.0,0.0,0
mdm,007097,20418608,1.0,-0.6396,1
mdm,007097,20418609,1.0,2.5241,0
mdm,007097,20418610,1.0,2.3433,0
mdm,007409,20421608,1.0,0.1448,0
mdm,007409,20421609,1.0,0.4937,0
mdm,007409,20421610,1.0,2.115,0
mdm,007459,20422608,0.0,0.0,0
mdm,007459,20422609,0.0,0.0,0
mdm,007459,20422610,0.0,0.0,0
mdm,007540,20423608,0.25,0.0229,0
mdm,007540,20423609,0.25,-0.1469,1
mdm,007540,20423610,0.25,-0.1294,1
mdm,007695,20427608,0.0,0.0,0
mdm,007695,20427609,0.0,0.0,0
mdm,007695,20427610,0.0,0.0,0
mdm,007742,20429608,0.0,0.0,0
mdm,007742,20429609,0.0,0.0,0
mdm,007742,20429610,0.0,0.0,0
mdm,008069,20432608,1.0,-0.2186,1
mdm,008069,20432609,1.0,-0.3489,1
mdm,008069,20432610,1.0,-0.5753,1
mdm,008087,20433608,0.75,-0.2892,1
mdm,008087,20433609,0.75,-0.1249,1
mdm,008087,20433610,0.75,-0.2217,1
mdm,008159,20438608,0.75,-0.2064,1
mdm,008159,20438609,0.5,-0.3374,1
mdm,008159,20438610,1.0,-0.0331,0
mdm,008315,20439608,1.0,1.5136,0
mdm,008315,20439609,1.0,1.9861,0
mdm,008315,20439610,1.0,2.2,0
mdm,008349,20441608,1.0,-0.6791,1
mdm,008349,20441609,1.0,-0.6061,1
mdm,008349,20441610,1.0,-0.6282,1
mdm,008382,20442608,1.0,0.3544,0
mdm,008382,20442609,1.0,0.3204,0
mdm,008382,20442610,1.0,0.044,0
mdm,008517,20444608,0.75,-0.4131,1
mdm,008517,20444609,0.75,-0.1429,1
mdm,008517,20444610,0.75,-0.5935,1
mdm,008775,20448608,1.0,-0.2164,1
mdm,008775,20448609,0.75,0.2274,0
mdm,008775,20448610,0.75,0.354,0
mdm,008936,20453608,1.0,0.5463,0
mdm,008936,20453609,1.0,2.2314,0
mdm,008936,20453610,0.0,0.0,0
mdm,009351,20456608,0.0,0.0,0
mdm,009351,20456609,0.0,0.0,0
mdm,009351,20456610,0.0,0.0,0
mdm,009410,20458608,1.0,-0.1972,1
mdm,009410,20458609,1.0,0.9331,0
mdm,009410,20458610,1.0,0.8486,0
mdm,009443,20459608,1.0,0.1429,0
mdm,009443,20459609,1.0,-0.5924,1
mdm,009443,20459610,1.0,-0.1162,1
mdm,009449,20460608,0.5,0.729,0
mdm,009449,20460609,0.5,0.4304,0
mdm,009449,20460610,0.5,0.7328,0
mdm,009562,20461608,1.0,0.5783,0
mdm,009562,20461609,1.0,0.3112,0
mdm,009562,20461610,1.0,0.1444,0
mdm,009710,20462608,0.75,-0.2252,1
mdm,009710,20462609,1.0,-0.0734,0
mdm,009710,20462610,0.75,0.1381,0
mdm,009749,20465608,0.75,0.1699,0
mdm,009749,20465609,0.75,0.3357,0
mdm,009749,20465610,0.75,0.1525,0
mdm,009762,20466608,1.0,0.2394,0
mdm,009762,20466609,1.0,-0.1305,1
mdm,009762,20466610,1.0,0.7773,0
mdm,009776,20467608,1.0,-0.4832,1
mdm,009776,20467609,1.0,0.5943,0
mdm,009776,20467610,1.0,-0.2874,1
mdm,009924,20468608,1.0,1.289,0
mdm,009924,20468609,1.0,0.0011,0
mdm,009924,20468610,1.0,-0.15,1
mdm,010076,20473608,1.0,2.7961,0
mdm,010076,20473609,1.0,0.4031,0
mdm,010076,20473610,1.0,0.4219,0
mdm,010116,20474608,1.0,2.4631,0
mdm,010116,20474609,1.0,1.9864,0
mdm,010116,20474610,1.0,1.926,0
mdm,010135,20475608,1.0,0.1424,0
mdm,010135,20475609,0.0,0.0,0
mdm,010135,20475610,0.0,0.0,0
mdm,010142,20476608,1.0,-0.1264,1
mdm,010142,20476609,1.0,-0.0071,0
mdm,010142,20476610,1.0,0.0655,0
mdm,010226,20480608,0.75,0.4833,0
mdm,010226,20480609,1.0,-0.3867,1
mdm,010226,20480610,1.0,-0.3077,1
mdm,010248,20481608,1.0,0.3231,0
mdm,010248,20481609,1.0,2.0764,0
mdm,010248,20481610,1.0,0.8171,0
mdm,010254,20482608,1.0,0.2818,0
mdm,010254,20482609,1.0,0.5333,0
mdm,010254,20482610,1.0,-0.3365,1
mdm,010447,20486608,1.0,0.0535,0
mdm,010447,20486609,1.0,0.3731,0
mdm,010447,20486610,1.0,-0.155,1
mdm,010557,20488608,0.0,0.0,0
