gen,sid,seed,split,stepping_speed,body_speed_shortfall,foot_sliding,ground_contact_ratio,contact_streak,path_straightness,duration_sec,wants_to_travel,wants_to_stay,intent_unclear,is_mdm,is_motiongpt,is_momask,mm_u000,mm_u025,mm_u050,mm_u075,mm_u100,mm_u125,mm_u150,mm_u200
mdm,000021,20260608,calib,0.048227,0.038208,0.017166275095276927,0.6591,0.05494,0.997,8.8,1,0,0,1,0,0,9.2375,8.7929,8.3597,7.8771,7.3869,6.9592,6.6479,6.3743
mdm,000021,20260609,calib,0.058767,0.048527,0.023992230215321823,0.7102,0.04898,0.9948,8.8,1,0,0,1,0,0,8.8524,8.489,8.0503,7.5985,7.1612,6.8054,6.5331,6.2936
mdm,000021,20260610,calib,0.040381,0.030655,0.01926576141655695,0.7869,0.07153,0.9958,8.8,1,0,0,1,0,0,9.7933,9.5151,9.1216,8.6399,8.1746,7.7315,7.2957,6.5475
mdm,000067,20261608,holdout,0.026947,0.017802,0.013941859963456761,0.864,0.15706,0.9974,6.8,1,0,0,1,0,0,5.6267,5.7743,5.6373,5.1641,4.3055,3.4098,2.8704,2.7824
mdm,000067,20261609,holdout,0.020816,0.011959,0.013026450606068163,0.8934,0.25522,0.996,6.8,1,0,0,1,0,0,5.0211,4.6786,3.9857,3.2953,3.0814,3.0907,3.1313,3.3654
mdm,000067,20261610,holdout,0.036975,0.027755,0.01080856225077045,0.5625,0.09375,0.998,6.8,1,0,0,1,0,0,5.9445,5.8542,5.6532,5.3642,5.0482,4.731,4.4759,4.4373
mdm,000073,20262608,holdout,0.028732,0.019439,0.013149064706105166,0.8413,0.16827,0.9995,5.2,1,0,0,1,0,0,4.7353,4.7721,4.7201,4.5689,4.3063,3.9229,3.3998,2.3664
mdm,000073,20262609,holdout,0.028581,0.019059,0.00946511451458746,0.6875,0.19644,0.9997,5.2,1,0,0,1,0,0,5.115,5.0443,4.9983,4.9038,4.7389,4.5853,4.3295,3.7894
mdm,000073,20262610,holdout,0.043306,0.033317,0.020570397763951417,0.7596,0.095,0.9992,5.2,1,0,0,1,0,0,4.7906,4.5453,4.1228,3.5954,3.0964,2.7351,2.5108,2.4478
mdm,000153,20263608,calib,0.000695,-0.007647,0.007837794121061071,1.0,1.0,1.0,9.8,0,0,1,1,0,0,1.1936,1.0463,0.9731,0.9467,0.9138,0.889,0.8889,1.0373
mdm,000153,20263609,calib,0.000509,-0.007835,0.007527814077605917,1.0,1.0,1.0,9.8,0,0,1,1,0,0,0.8422,0.8179,0.8594,0.91,0.9299,0.9432,0.9896,1.2172
mdm,000153,20263610,calib,0.000768,-0.007556,0.007637525003662125,1.0,1.0,1.0,9.8,0,0,1,1,0,0,1.4655,1.3242,1.2374,1.2384,1.3021,1.4462,1.6615,2.2917
mdm,000160,20264608,holdout,0.002095,-0.006273,0.006642135018879144,1.0,1.0,1.0,6.4,0,0,1,1,0,0,1.8409,1.7092,1.6791,1.7175,1.7624,1.805,1.8574,1.9595
mdm,000160,20264609,holdout,0.001497,-0.006843,0.008088705155660483,1.0,1.0,1.0,6.4,0,0,1,1,0,0,2.0935,2.1615,2.2173,2.2296,2.1963,2.1462,2.0899,1.9645
mdm,000160,20264610,holdout,0.000941,-0.007397,0.007909149394281202,1.0,1.0,1.0,6.4,0,0,1,1,0,0,1.7001,1.7077,1.6886,1.6372,1.5008,1.353,1.2285,1.1652
mdm,000246,20265608,holdout,0.04169,0.031988,0.01818419549170718,0.773,0.05944,0.9969,9.8,1,0,0,1,0,0,6.6656,6.5104,6.2485,5.8964,5.4884,5.0589,4.5947,3.7086
mdm,000246,20265609,holdout,0.061134,0.050697,0.02450798456683319,0.648,0.04051,0.996,9.8,1,0,0,1,0,0,5.4445,4.5273,3.5886,2.7376,2.058,1.6333,1.4056,1.6405
