pair_id,sample_id,seed,prompt,left_is,fs_before,fs_after,leg_cv_before,leg_cv_after,float_before,float_after,skate_seg,n_skate_frames,foot
pair_01,014574,20559608,a person walks forward then around off to the side.,original,0.02466,0.01632,0.10855,0.0,0.00233,0.0677,"[33, 45]",13,left
pair_02,000246,20265609,a person cautiously walks in an arc,corrected,0.02451,0.01544,0.09321,0.0,0.07308,0.06838,"[82, 97]",16,left
pair_03,007134,20419608,the figure is walking in a counter clockwise motion slowly.,original,0.02441,0.01925,0.0913,0.0,0.06345,0.02284,"[116, 131]",14,right
pair_04,000021,20260609,person is walking normally in a circle,corrected,0.02399,0.01338,0.10187,0.0,0.06142,0.08437,"[94, 110]",17,left
pair_05,013573,20542608,a person walks in a large circle.,corrected,0.02399,0.01512,0.09163,0.0,0.03634,0.0398,"[115, 130]",16,left
pair_06,001617,20289609,a person walking one way and then increasing pace running back,corrected,0.02396,0.00992,0.27468,0.0,0.018,0.05055,"[70, 130]",24,left
pair_07,006383,20400610,"subject walks in a full circle, then side steps to turn around and walk around something to avoid running into.",original,0.0238,0.01491,0.15962,0.0,0.02834,0.0546,"[26, 76]",20,right
pair_08,004320,20347609,"a man walks forward slowly, then turns around.",original,0.02333,0.0106,0.11106,0.0,0.01881,0.05624,"[77, 119]",15,left
pair_09,003584,20327608,a person moves something out of the way in a effort to advance forward.,corrected,0.02326,0.01231,0.50255,0.0,0.03031,0.04341,"[14, 52]",20,right
pair_10,001347,20286608,a person walks forward unbalanced and almost falls over.,corrected,0.02311,0.00453,0.07736,0.0,0.03544,0.03055,"[56, 75]",17,left
pair_11,014171,20549610,a walking man bumps something with his right leg then turns and walks in another direction.,corrected,0.02289,0.01273,0.08733,0.0,0.02986,0.04869,"[62, 77]",16,right
pair_12,007097,20418609,person was walking down the path around things.,corrected,0.02285,0.00946,0.09759,0.0,0.04006,0.04585,"[59, 74]",16,right
pair_13,002597,20304609,a man walks around in a clockwise circle.,corrected,0.02275,0.01698,0.11112,0.0,0.05749,0.06085,"[10, 23]",14,right
pair_14,001225,20283609,person walks five steps forward whilst holding right hand extended to the right hand side holding onto something,original,0.02227,0.01438,0.06621,0.0,0.03279,0.03892,"[0, 71]",51,left
pair_15,004293,20345608,a person confidently walks down an aisle while stretching/loosening up their arm.,corrected,0.02225,0.00663,0.11684,0.0,0.05477,0.05977,"[34, 55]",21,right
pair_16,009776,20467610,a figure does a standing sprint,original,0.02211,0.01298,0.14902,0.0,0.0163,0.02412,"[46, 53]",8,left
pair_17,006852,20414610,a person pivots to the left twice with his right foot planted.,corrected,0.02196,0.00494,0.11719,0.0,0.01181,0.08328,"[0, 195]",105,right
pair_18,005793,20385608,the person is walking on a treadmill slowly.,corrected,0.02196,0.01666,0.0962,0.0,0.07395,0.06216,"[122, 137]",16,left
pair_19,003171,20317610,the person is walking down arms out.,original,0.02192,0.00702,0.10045,0.0,0.02999,0.0843,"[35, 60]",20,right
pair_20,012675,20523610,person walks with both arms straight forward,original,0.02182,0.01364,0.06952,0.0,0.02006,0.0244,"[59, 74]",16,right
