pair_id,sample_id,seed,prompt,left_is,fs_before,fs_after,ratio_before,ratio_after,skate_seg,n_skate_frames,foot
pair_01,011402,20503609,a person slowly walks in a 3/4 circle.,corrected,0.02163,0.00923,0.29,1.057,"[82, 100]",18,left
pair_02,006426,20402608,person runs in a zigzag motion and ducks under an invisible object hlfway through then returns to full height.,original,0.02142,0.01441,0.109,0.338,"[3, 19]",9,left
pair_03,011397,20502609,a man walks clockwise in a circle,corrected,0.0214,0.01017,0.327,1.143,"[117, 137]",19,right
pair_04,014565,20558609,"person walks forward, turns and walks back",original,0.02136,0.00993,0.425,1.461,"[28, 52]",20,left
pair_05,001976,20295609,"a person casually struts in a clockwise oval almost back to their original position, swinging their arms lightly at their side as they walk.",corrected,0.0209,0.00606,0.321,1.532,"[129, 143]",15,left
pair_06,004702,20358609,a man walks counterclockwise in a circle,original,0.02074,0.00773,0.247,1.0,"[123, 139]",16,left
pair_07,004129,20341608,"someone jogs in place, makes a quarter turn to the left and back, jogs backwards and then forwards.",original,0.02069,0.01452,0.428,0.94,"[78, 124]",34,right
pair_08,004504,20351610,"a person jogs for a few steps, then slows to a walk for a few more steps.",original,0.02064,0.00774,0.106,0.436,"[39, 45]",7,right
pair_09,000073,20262610,a person walks forward while making small adjustments left and right,corrected,0.02057,0.00795,0.416,1.437,"[15, 28]",14,right
pair_10,005445,20376610,a person walked in a counter-clockwise circle.,corrected,0.02039,0.0086,0.288,0.951,"[100, 117]",17,left
pair_11,003942,20335609,walking around in a circle.,corrected,0.02028,0.0065,0.313,1.396,"[123, 140]",17,left
pair_12,004438,20350609,a person walks forward with their left leg limping.,original,0.02001,0.00761,0.524,2.171,"[6, 22]",17,left
pair_13,003814,20331608,a person walking and changing their path to the left,corrected,0.01999,0.00702,0.347,1.528,"[21, 35]",15,left
pair_14,005504,20377610,"this person walks forward, swats then walks back.",original,0.01961,0.00762,0.231,0.711,"[44, 70]",16,left
pair_15,008934,20452610,walking forward and then to the side.,corrected,0.0192,0.01057,0.313,0.879,"[37, 68]",18,right
pair_16,014222,20551610,a blind folded person walks around.,corrected,0.01908,0.01747,0.35,0.531,"[38, 135]",37,right
pair_17,013222,20536608,a person hops forward then turns around and hops back past where they started.,original,0.01895,0.00649,0.211,1.273,"[111, 127]",16,right
pair_18,004904,20366608,person walks straight back leading with left leg,corrected,0.01883,0.00704,0.392,1.515,"[56, 72]",16,left
pair_19,010043,20472609,the person is doing the cha-cha.,original,0.01881,0.01274,0.71,1.566,"[127, 179]",30,right
pair_20,002781,20312608,a man walks around in a complete circle.,corrected,0.01849,0.00788,0.325,1.164,"[123, 143]",15,left
